[Name]
3D Transonic Tip Pressure at /POLYLINE:Polyline 2

[Data]
X [ m ],Pressure [ Pa ]
2.08685207e+000, -3.53814185e+003
2.03467512e+000, -3.94229883e+003
1.91894913e+000, -4.88412500e+003
1.79108286e+000, -5.31928906e+003
1.76511478e+000, -5.43754297e+003
1.57514644e+000, -5.67227539e+003
1.55140448e+000, -5.69363135e+003
1.27112722e+000, -5.53616016e+003
1.26488698e+000, -5.53298877e+003


