[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
2.08685207e+000, -1.76308350e+002
2.03467512e+000, -2.03963898e+002
1.91894913e+000, -2.81792389e+002
1.79108286e+000, -3.40648224e+002
1.76511478e+000, -3.55437347e+002
1.57514644e+000, -4.31256714e+002
1.55140448e+000, -4.38913086e+002
1.27112722e+000, -4.61250000e+002
1.26488698e+000, -4.61671539e+002


