[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
1.99760652e+000, -1.82480352e+004
1.97521448e+000, -1.82273535e+004
1.95357656e+000, -1.82040566e+004
1.93400753e+000, -1.81806133e+004
1.91510987e+000, -1.81564004e+004
1.89668000e+000, -1.81355215e+004
1.87858915e+000, -1.81143359e+004
1.86083484e+000, -1.80943066e+004
1.84345305e+000, -1.80745762e+004
1.82655966e+000, -1.80551855e+004
1.80985272e+000, -1.80363105e+004
1.79346704e+000, -1.80173730e+004
1.77744436e+000, -1.79980332e+004
1.76176035e+000, -1.79781055e+004
1.74641299e+000, -1.79580703e+004
1.73138177e+000, -1.79378828e+004
1.71663415e+000, -1.79173301e+004
1.70215213e+000, -1.78959512e+004
1.68792760e+000, -1.78744531e+004
1.67393064e+000, -1.78515293e+004
1.66015661e+000, -1.78266270e+004
1.64661193e+000, -1.78036289e+004
1.63328159e+000, -1.77827871e+004
1.62017918e+000, -1.77607422e+004
1.60731351e+000, -1.77385117e+004
1.59464645e+000, -1.77154063e+004
1.58214784e+000, -1.76919082e+004
1.56986189e+000, -1.76694375e+004
1.55769455e+000, -1.76462344e+004
1.54563320e+000, -1.76221152e+004
1.53373456e+000, -1.75975664e+004
1.52200902e+000, -1.75722422e+004
1.51046169e+000, -1.75469082e+004
1.49909687e+000, -1.75211563e+004
1.48791611e+000, -1.74933848e+004
1.47690558e+000, -1.74650508e+004
1.46603894e+000, -1.74365410e+004
1.45522118e+000, -1.74065586e+004
1.44444191e+000, -1.73746406e+004
1.43369424e+000, -1.73416895e+004
1.42296731e+000, -1.73088379e+004
1.41224313e+000, -1.72753262e+004
1.40150464e+000, -1.72411777e+004
1.39073849e+000, -1.72075195e+004
1.37995267e+000, -1.71778398e+004
1.36915243e+000, -1.71468340e+004
1.35833883e+000, -1.71133027e+004
1.34751320e+000, -1.70821445e+004
1.33667672e+000, -1.70510605e+004
1.32583046e+000, -1.70153477e+004
1.31497550e+000, -1.69827441e+004
1.30411243e+000, -1.69514004e+004
1.29324186e+000, -1.69218516e+004
1.28236389e+000, -1.68929785e+004
1.27147889e+000, -1.68624941e+004
1.26058686e+000, -1.68331230e+004
1.24968839e+000, -1.68056133e+004
1.23878574e+000, -1.67787109e+004
1.22788036e+000, -1.67524922e+004
1.21697283e+000, -1.67264883e+004
1.20605731e+000, -1.67031094e+004
1.19509304e+000, -1.66808633e+004
1.18407273e+000, -1.66575820e+004
1.17299438e+000, -1.66328281e+004
1.16185701e+000, -1.66097168e+004
1.15065980e+000, -1.65874121e+004
1.13939917e+000, -1.65673125e+004
1.12807178e+000, -1.65483066e+004
1.11667299e+000, -1.65314531e+004
1.10520065e+000, -1.65138750e+004
1.09365284e+000, -1.64961660e+004
1.08202910e+000, -1.64806465e+004
1.07032967e+000, -1.64651621e+004
1.05854762e+000, -1.64501504e+004
1.04667628e+000, -1.64362520e+004
1.03471327e+000, -1.64226543e+004
1.02266896e+000, -1.64115449e+004
1.01058483e+000, -1.64000137e+004
9.98527169e-001, -1.63893457e+004
9.86559629e-001, -1.63784004e+004
9.74645138e-001, -1.63685195e+004
9.62758422e-001, -1.63593135e+004
9.50858653e-001, -1.63479395e+004
9.38926756e-001, -1.63366035e+004
9.26948190e-001, -1.63248135e+004
9.14972425e-001, -1.63130811e+004
9.03023064e-001, -1.62999551e+004
8.91113043e-001, -1.62866592e+004
8.79241109e-001, -1.62717607e+004
8.67402911e-001, -1.62552168e+004
8.55586767e-001, -1.62394678e+004
8.43792081e-001, -1.62211650e+004
8.32027435e-001, -1.62020771e+004
8.20298254e-001, -1.61831045e+004
8.08608294e-001, -1.61623135e+004
7.96973526e-001, -1.61398643e+004
7.85406768e-001, -1.61177178e+004
7.73915827e-001, -1.60965537e+004
7.62508273e-001, -1.60713799e+004
7.51191139e-001, -1.60467939e+004
7.39973724e-001, -1.60245488e+004
7.28865743e-001, -1.60015293e+004
7.17822671e-001, -1.59769893e+004
7.06812680e-001, -1.59563066e+004
6.95839643e-001, -1.59328555e+004
6.84903622e-001, -1.59112168e+004
6.73980832e-001, -1.58912891e+004
6.63066387e-001, -1.58730449e+004
6.52168095e-001, -1.58572051e+004
6.41286552e-001, -1.58445977e+004
6.30421519e-001, -1.58337588e+004
6.19583368e-001, -1.58239727e+004
6.08795583e-001, -1.58129805e+004
5.98035336e-001, -1.58102334e+004
5.87279081e-001, -1.58095850e+004
5.76491177e-001, -1.58135205e+004
5.65659225e-001, -1.58188574e+004
