[Name]
Series 1 at Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
1.97521448e+000, -3.10186127e+002
1.95357656e+000, -3.23391968e+002
1.93400753e+000, -3.35532135e+002
1.91510987e+000, -3.46993988e+002
1.89668000e+000, -3.58135315e+002
1.87858915e+000, -3.68911560e+002
1.86083484e+000, -3.79542603e+002
1.84345305e+000, -3.89996552e+002
1.82655966e+000, -4.00052246e+002
1.80985272e+000, -4.09901184e+002
1.79346704e+000, -4.19624725e+002
1.77744436e+000, -4.29151794e+002
1.76176035e+000, -4.38494904e+002
1.74641299e+000, -4.47618195e+002
1.73138177e+000, -4.56547058e+002
1.71663415e+000, -4.65218384e+002
1.70215213e+000, -4.73626587e+002
1.68792760e+000, -4.81930725e+002
1.67393064e+000, -4.90244873e+002
1.66015661e+000, -4.98234833e+002
1.64661193e+000, -5.05837494e+002
1.63328159e+000, -5.13484985e+002
1.62017918e+000, -5.20918701e+002
1.60731351e+000, -5.28214905e+002
1.59464645e+000, -5.35414063e+002
1.58214784e+000, -5.42344910e+002
1.56986189e+000, -5.49092102e+002
1.55769455e+000, -5.55916565e+002
1.54563320e+000, -5.62631836e+002
1.53373456e+000, -5.69274292e+002
1.52200902e+000, -5.75712036e+002
1.51046169e+000, -5.81864746e+002
1.49909687e+000, -5.88159424e+002
1.48791611e+000, -5.94172852e+002
1.47690558e+000, -5.99911560e+002
1.46603894e+000, -6.05395569e+002
1.45522118e+000, -6.10815552e+002
1.44444191e+000, -6.16181946e+002
1.43369424e+000, -6.21255859e+002
1.42296731e+000, -6.26146362e+002
1.41224313e+000, -6.30817444e+002
1.40150464e+000, -6.35060181e+002
1.39073849e+000, -6.38839539e+002
1.37995267e+000, -6.42641357e+002
1.36915243e+000, -6.46169678e+002
1.35833883e+000, -6.49238770e+002
1.34751320e+000, -6.52226746e+002
1.33667672e+000, -6.55383179e+002
1.32583046e+000, -6.58091797e+002
1.31497550e+000, -6.60696289e+002
1.30411243e+000, -6.62963806e+002
1.29324186e+000, -6.65184692e+002
1.28236389e+000, -6.67463379e+002
1.27147889e+000, -6.69561584e+002
1.26058686e+000, -6.71530396e+002
1.24968839e+000, -6.73394409e+002
1.23878574e+000, -6.75262634e+002
1.22788036e+000, -6.77147644e+002
1.21697283e+000, -6.78879272e+002
1.20605731e+000, -6.80441345e+002
1.19509304e+000, -6.82028198e+002
1.18407273e+000, -6.83638123e+002
1.17299438e+000, -6.85185242e+002
1.16185701e+000, -6.86712891e+002
1.15065980e+000, -6.88059814e+002
1.13939917e+000, -6.89457703e+002
1.12807178e+000, -6.90793274e+002
1.11667299e+000, -6.92164368e+002
1.10520065e+000, -6.93527466e+002
1.09365284e+000, -6.94760254e+002
1.08202910e+000, -6.95992371e+002
1.07032967e+000, -6.97262512e+002
1.05854762e+000, -6.98515076e+002
1.04667628e+000, -6.99724976e+002
1.03471327e+000, -7.00798523e+002
1.02266896e+000, -7.02294617e+002
1.01058483e+000, -7.03472900e+002
9.98527169e-001, -7.04706543e+002
9.86559629e-001, -7.05828735e+002
9.74645138e-001, -7.06946533e+002
9.62758422e-001, -7.08348083e+002
9.50858653e-001, -7.09662842e+002
9.38926756e-001, -7.11124634e+002
9.26948190e-001, -7.12581604e+002
9.14972425e-001, -7.14088989e+002
9.03023064e-001, -7.15539124e+002
