[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
2.08685207e+000, -1.17525547e+004
2.03467512e+000, -1.15669531e+004
1.91894913e+000, -1.11364902e+004
1.79108286e+000, -1.05400273e+004
1.76511478e+000, -1.03869951e+004
1.57514644e+000, -9.13100879e+003
1.55140448e+000, -8.94792871e+003
1.27112722e+000, -6.75778027e+003
1.26488698e+000, -6.69857617e+003


