[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
8.21988344e-001, -1.23086853e+003
8.40274334e-001, -1.33242224e+003
8.58371437e-001, -1.43343201e+003
8.76277983e-001, -1.52895923e+003
8.93995166e-001, -1.62327222e+003
9.11524951e-001, -1.70973474e+003
9.28869247e-001, -1.79821045e+003
9.46029902e-001, -1.88997937e+003
9.63008881e-001, -1.98267761e+003
9.79808033e-001, -2.07321606e+003
9.96429145e-001, -2.16197192e+003
1.01287413e+000, -2.25180493e+003
1.02914476e+000, -2.34317969e+003
1.04524291e+000, -2.43529419e+003
1.06117022e+000, -2.52646899e+003
1.07692862e+000, -2.61725366e+003
1.09252000e+000, -2.70775586e+003
1.10798585e+000, -2.79630737e+003
1.12335443e+000, -2.89023340e+003
1.13862944e+000, -2.98418262e+003
1.15381122e+000, -3.07788037e+003
1.16889954e+000, -3.16914941e+003
1.18387806e+000, -3.25966382e+003
1.19869483e+000, -3.35258032e+003
1.21318221e+000, -3.44375171e+003
1.22745705e+000, -3.53764258e+003
1.24157631e+000, -3.63276465e+003
1.25547111e+000, -3.72728540e+003
1.26913309e+000, -3.82046143e+003
1.28256118e+000, -3.91455542e+003
1.29575229e+000, -4.01084326e+003
1.30870128e+000, -4.10881689e+003
1.32141232e+000, -4.20235498e+003
1.33389759e+000, -4.29194678e+003
1.34616053e+000, -4.37865479e+003
1.35820472e+000, -4.46546631e+003
1.37004018e+000, -4.55444824e+003
1.38167179e+000, -4.64063330e+003
1.39310503e+000, -4.72556592e+003
1.40455019e+000, -4.80775635e+003
1.41618013e+000, -4.88387256e+003
1.42813683e+000, -4.96198242e+003
1.44047713e+000, -5.03972461e+003
1.45321274e+000, -5.11126367e+003
1.46635735e+000, -5.19167041e+003
1.47991669e+000, -5.26957666e+003
1.49385118e+000, -5.33386084e+003
1.50835705e+000, -5.39859326e+003
1.52358472e+000, -5.46181787e+003
1.53947389e+000, -5.52611768e+003
1.55604160e+000, -5.58645605e+003
1.57331181e+000, -5.64959473e+003
1.59104371e+000, -5.71458594e+003
1.60944533e+000, -5.77866357e+003
1.62916470e+000, -5.84055713e+003
1.65013528e+000, -5.90154688e+003
1.67214310e+000, -5.96375244e+003
1.69520736e+000, -6.02598047e+003
1.71951592e+000, -6.08927197e+003
1.74511468e+000, -6.15496436e+003
1.77212656e+000, -6.22599902e+003
1.80086744e+000, -6.30231445e+003
1.83172047e+000, -6.37727832e+003
1.86526370e+000, -6.45238184e+003
1.90101707e+000, -6.51658350e+003
1.93626976e+000, -6.55191113e+003
1.97025466e+000, -6.55271729e+003
2.00261974e+000, -6.49402783e+003
2.03338528e+000, -6.30542725e+003
2.06262493e+000, -5.89659229e+003
2.09038591e+000, -5.10413525e+003
2.11678076e+000, -3.91607935e+003
2.14220881e+000, -2.51660327e+003
2.16652298e+000, -1.32563281e+003
2.18985033e+000, -5.55280151e+002
2.21226811e+000, -1.80181717e+002
2.23382211e+000, -5.34754944e+000
2.25348830e+000, 1.00106125e+002
2.27190375e+000, 1.98439377e+002
2.28946424e+000, 3.00290771e+002
2.30621004e+000, 4.00821625e+002
2.32218122e+000, 4.95867523e+002
2.33744121e+000, 5.81634705e+002
2.35118032e+000, 6.52780457e+002
2.36307049e+000, 7.06013123e+002
2.37482572e+000, 7.48437805e+002
2.38726664e+000, 7.79917725e+002
2.40173149e+000, 8.01680481e+002
2.41701674e+000, 8.14748657e+002
2.43251824e+000, 8.23002930e+002
2.44807839e+000, 8.29350159e+002
2.46354795e+000, 8.40423584e+002
2.47790051e+000, 8.62197083e+002
2.49074602e+000, 9.01189819e+002
2.50222993e+000, 9.58852539e+002
2.51336694e+000, 1.03356140e+003
2.52452302e+000, 1.13887634e+003
2.53631401e+000, 1.28405383e+003
2.54860878e+000, 1.45993665e+003
2.56100583e+000, 1.63661194e+003
2.57280493e+000, 1.77731360e+003
2.58380938e+000, 1.87493640e+003
2.59467936e+000, 1.93599487e+003
2.60550427e+000, 1.96269055e+003
2.61629915e+000, 1.96553748e+003
2.62709379e+000, 1.93590527e+003
2.63789129e+000, 1.85909814e+003
2.64868617e+000, 1.74660193e+003
2.65947270e+000, 1.60135352e+003
2.67027545e+000, 1.41700061e+003
2.68110728e+000, 1.19649500e+003
2.69193292e+000, 9.45297058e+002
2.70273542e+000, 6.71336060e+002
2.71351361e+000, 3.73264648e+002
2.72426748e+000, 4.15733414e+001
2.73502755e+000, -3.32370697e+002
2.74578977e+000, -7.52165161e+002
2.75649452e+000, -1.26195374e+003
2.76716185e+000, -1.90487048e+003
2.77784300e+000, -2.73790869e+003
2.78853607e+000, -3.94856201e+003
2.79915380e+000, -6.18418164e+003
2.78892589e+000, -9.06022461e+003
2.77821612e+000, -1.13050605e+004
2.76746011e+000, -1.21498555e+004
2.75669456e+000, -1.23257813e+004
2.74581718e+000, -1.23173809e+004
2.73474908e+000, -1.22684492e+004
2.72337794e+000, -1.22172285e+004
2.71167278e+000, -1.21957412e+004
2.69990015e+000, -1.21929971e+004
2.68807793e+000, -1.22104902e+004
2.67618251e+000, -1.22512246e+004
2.66470575e+000, -1.23183389e+004
2.65387893e+000, -1.24021094e+004
2.64317131e+000, -1.24966230e+004
2.63246894e+000, -1.25975498e+004
2.62172532e+000, -1.26990254e+004
2.61089063e+000, -1.27986816e+004
2.59999561e+000, -1.28876543e+004
2.58907461e+000, -1.29693555e+004
2.57816505e+000, -1.30479639e+004
2.56713510e+000, -1.31209863e+004
2.55577683e+000, -1.31713760e+004
2.54266286e+000, -1.31964688e+004
2.52747416e+000, -1.31965674e+004
2.51220775e+000, -1.31604570e+004
2.49669933e+000, -1.31208740e+004
2.47919369e+000, -1.30916797e+004
2.45686603e+000, -1.30673506e+004
2.43074989e+000, -1.30542021e+004
2.40308237e+000, -1.30523008e+004
2.37550282e+000, -1.30626631e+004
2.34908652e+000, -1.30721182e+004
2.32080197e+000, -1.30739912e+004
2.28914261e+000, -1.30672080e+004
2.25444126e+000, -1.30437061e+004
2.22005439e+000, -1.30095840e+004
2.18887186e+000, -1.29730693e+004
2.15914941e+000, -1.29387637e+004
2.12962675e+000, -1.29043818e+004
2.10053372e+000, -1.28672617e+004
2.07244897e+000, -1.28268330e+004
2.04591370e+000, -1.27867451e+004
2.02108431e+000, -1.27487148e+004
1.99760652e+000, -1.27120635e+004
1.97521448e+000, -1.26743457e+004
1.95357656e+000, -1.26348262e+004
1.93400753e+000, -1.25915928e+004
1.91510987e+000, -1.25450322e+004
1.89668000e+000, -1.25040352e+004
1.87858915e+000, -1.24619912e+004
1.86083484e+000, -1.24208252e+004
1.84345305e+000, -1.23794775e+004
1.82655966e+000, -1.23380557e+004
1.80985272e+000, -1.22970205e+004
1.79346704e+000, -1.22560986e+004
1.77744436e+000, -1.22150020e+004
1.76176035e+000, -1.21734600e+004
1.74641299e+000, -1.21314736e+004
1.73138177e+000, -1.20890986e+004
1.71663415e+000, -1.20469219e+004
1.70215213e+000, -1.20050742e+004
1.68792760e+000, -1.19637246e+004
1.67393064e+000, -1.19194248e+004
1.66015661e+000, -1.18701309e+004
1.64661193e+000, -1.18221768e+004
1.63328159e+000, -1.17785098e+004
1.62017918e+000, -1.17331055e+004
1.60731351e+000, -1.16876426e+004
1.59464645e+000, -1.16413594e+004
1.58214784e+000, -1.15950723e+004
1.56986189e+000, -1.15503467e+004
1.55769455e+000, -1.15039746e+004
1.54563320e+000, -1.14558848e+004
1.53373456e+000, -1.14078662e+004
1.52200902e+000, -1.13590947e+004
1.51046169e+000, -1.13105557e+004
1.49909687e+000, -1.12619678e+004
1.48791611e+000, -1.12095020e+004
1.47690558e+000, -1.11561387e+004
1.46603894e+000, -1.11039229e+004
1.45522118e+000, -1.10510371e+004
1.44444191e+000, -1.09955879e+004
1.43369424e+000, -1.09377578e+004
1.42296731e+000, -1.08782744e+004
1.41224313e+000, -1.08165449e+004
1.40150464e+000, -1.07523623e+004
1.39073849e+000, -1.06862285e+004
1.37995267e+000, -1.06258535e+004
1.36915243e+000, -1.05649883e+004
1.35833883e+000, -1.05019756e+004
1.34751320e+000, -1.04437217e+004
1.33667672e+000, -1.03870303e+004
1.32583046e+000, -1.03227109e+004
1.31497550e+000, -1.02617471e+004
1.30411243e+000, -1.02016396e+004
1.29324186e+000, -1.01445293e+004
1.28236389e+000, -1.00895264e+004
1.27147889e+000, -1.00320205e+004
1.26058686e+000, -9.97542480e+003
1.24968839e+000, -9.92081934e+003
1.23878574e+000, -9.86598828e+003
1.22788036e+000, -9.81109961e+003
1.21697283e+000, -9.75440137e+003
1.20605731e+000, -9.70080664e+003
1.19509304e+000, -9.65063477e+003
1.18407273e+000, -9.60063867e+003
1.17299438e+000, -9.54908691e+003
1.16185701e+000, -9.49661816e+003
1.15065980e+000, -9.44337402e+003
1.13939917e+000, -9.39230078e+003
1.12807178e+000, -9.34121484e+003
1.11667299e+000, -9.29098438e+003
1.10520065e+000, -9.24015137e+003
1.09365284e+000, -9.18731543e+003
1.08202910e+000, -9.13574902e+003
1.07032967e+000, -9.08541895e+003
1.05854762e+000, -9.03525977e+003
1.04667628e+000, -8.98521289e+003
1.03471327e+000, -8.93302051e+003
1.02266896e+000, -8.88337793e+003
1.01058483e+000, -8.83245801e+003
9.98527169e-001, -8.78266406e+003
9.86559629e-001, -8.73336328e+003
9.74645138e-001, -8.68636621e+003
9.62758422e-001, -8.64277344e+003
9.50858653e-001, -8.59598242e+003
9.38926756e-001, -8.54846289e+003
9.26948190e-001, -8.49970117e+003
9.14972425e-001, -8.45196973e+003
9.03023064e-001, -8.40345313e+003
8.91113043e-001, -8.35645313e+003
8.79241109e-001, -8.30953516e+003
8.67402911e-001, -8.26303027e+003
8.55586767e-001, -8.21978320e+003
8.43792081e-001, -8.17197217e+003
8.32027435e-001, -8.12380469e+003
8.20298254e-001, -8.07833789e+003
8.08608294e-001, -8.03210547e+003
7.96973526e-001, -7.98446533e+003
7.85406768e-001, -7.93863037e+003
7.73915827e-001, -7.89551318e+003
7.62508273e-001, -7.84685693e+003
7.51191139e-001, -7.79982764e+003
7.39973724e-001, -7.75543604e+003
7.28865743e-001, -7.71182959e+003
7.17822671e-001, -7.66593994e+003
7.06812680e-001, -7.62193164e+003
6.95839643e-001, -7.57512109e+003
6.84903622e-001, -7.52906006e+003
6.73980832e-001, -7.48293750e+003
6.63066387e-001, -7.43637695e+003
6.52168095e-001, -7.39036523e+003
6.41286552e-001, -7.34594873e+003
6.30421519e-001, -7.30133447e+003
6.19583368e-001, -7.25537744e+003
6.08795583e-001, -7.20399561e+003
5.98035336e-001, -7.15811230e+003
5.87279081e-001, -7.11143750e+003
5.76491177e-001, -7.06650439e+003
5.65659225e-001, -7.02060840e+003
5.54803252e-001, -6.97179297e+003
5.43944538e-001, -6.92302881e+003
5.33104897e-001, -6.87682422e+003
5.22307277e-001, -6.82953125e+003
5.11574745e-001, -6.77505664e+003
5.00930667e-001, -6.71916064e+003
4.90354061e-001, -6.66462158e+003
4.79766190e-001, -6.60960498e+003
4.69180793e-001, -6.55455566e+003
4.58604723e-001, -6.49967676e+003
4.48027521e-001, -6.44361182e+003
4.37445432e-001, -6.38257422e+003
4.26854432e-001, -6.31650391e+003
4.16256696e-001, -6.24824902e+003
4.05657917e-001, -6.18429248e+003
3.94998401e-001, -6.11645557e+003
3.84271413e-001, -6.04487256e+003
3.73514891e-001, -5.97164063e+003
3.62768888e-001, -5.89623096e+003
3.52074653e-001, -5.82054932e+003
3.41473788e-001, -5.74520752e+003
3.30938309e-001, -5.66930029e+003
3.20313483e-001, -5.59210693e+003
3.09630454e-001, -5.51265771e+003
2.98939139e-001, -5.43059521e+003
2.88292587e-001, -5.34762109e+003
2.77701020e-001, -5.26569531e+003
2.67141402e-001, -5.18633984e+003
2.56560057e-001, -5.10980908e+003
2.45907083e-001, -5.03418213e+003
2.35246420e-001, -4.95749902e+003
2.24648148e-001, -4.87447900e+003
2.14170620e-001, -4.80656104e+003
2.03656673e-001, -4.73837451e+003
1.93089753e-001, -4.66370166e+003
1.82545021e-001, -4.57731934e+003
1.72061682e-001, -4.46699609e+003
1.61656469e-001, -4.32056055e+003
1.51157662e-001, -4.13448340e+003
1.40612915e-001, -3.91577466e+003
1.30118519e-001, -3.68130396e+003
1.19763657e-001, -3.46300244e+003
1.09354369e-001, -3.29911719e+003
9.89228636e-002, -3.22983154e+003
8.85807946e-002, -3.27635522e+003
7.83189088e-002, -3.54720044e+003
6.79710209e-002, -4.06022046e+003
5.76768257e-002, -4.58539209e+003
4.75861616e-002, -4.88184912e+003
3.75406444e-002, -4.78694629e+003
2.77356952e-002, -4.04733887e+003
1.83149111e-002, -1.32356482e+003
9.70855821e-003, 3.52890698e+003
2.90239113e-003, 1.02477871e+004
-6.33319994e-011, 1.53916094e+004
3.47039383e-003, 1.48543896e+004
1.12929037e-002, 1.12780947e+004
2.06081793e-002, 7.88583154e+003
3.06605436e-002, 5.83723340e+003
4.10209559e-002, 5.34560986e+003
5.14220223e-002, 5.19134619e+003
6.19417541e-002, 5.08464893e+003
7.25284740e-002, 4.97840967e+003
8.31626430e-002, 4.84562354e+003
9.37831700e-002, 4.64504297e+003
1.04330234e-001, 4.40365527e+003
1.14890166e-001, 4.16620264e+003
1.25565484e-001, 3.95735986e+003
1.36300236e-001, 3.76934033e+003
1.47044212e-001, 3.60041162e+003
1.57750830e-001, 3.43688965e+003
