[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
8.21988344e-001, 1.30667461e+004
8.40274334e-001, 1.29686084e+004
8.58371437e-001, 1.28659688e+004
8.76277983e-001, 1.27677900e+004
8.93995166e-001, 1.26658438e+004
9.11524951e-001, 1.25752646e+004
9.28869247e-001, 1.24797617e+004
9.46029902e-001, 1.23787842e+004
9.63008881e-001, 1.22751855e+004
9.79808033e-001, 1.21731592e+004
9.96429145e-001, 1.20733184e+004
1.01287413e+000, 1.19727324e+004
1.02914476e+000, 1.18702715e+004
1.04524291e+000, 1.17668564e+004
1.06117022e+000, 1.16634873e+004
1.07692862e+000, 1.15600938e+004
1.09252000e+000, 1.14548203e+004
1.10798585e+000, 1.13503701e+004
1.12335443e+000, 1.12356670e+004
1.13862944e+000, 1.11172715e+004
1.15381122e+000, 1.09958496e+004
1.16889954e+000, 1.08772832e+004
1.18387806e+000, 1.07591592e+004
1.19869483e+000, 1.06342715e+004
1.21318221e+000, 1.05097148e+004
1.22745705e+000, 1.03776201e+004
1.24157631e+000, 1.02397871e+004
1.25547111e+000, 1.00997168e+004
1.26913309e+000, 9.96070410e+003
1.28256118e+000, 9.82058496e+003
1.29575229e+000, 9.67299414e+003
1.30870128e+000, 9.51809375e+003
1.32141232e+000, 9.36552051e+003
1.33389759e+000, 9.21991699e+003
1.34616053e+000, 9.08341211e+003
1.35820472e+000, 8.94895313e+003
1.37004018e+000, 8.80874023e+003
1.38167179e+000, 8.67508008e+003
1.39310503e+000, 8.54624707e+003
1.40455019e+000, 8.42508398e+003
1.41618013e+000, 8.32800195e+003
1.42813683e+000, 8.23470703e+003
1.44047713e+000, 8.15518213e+003
1.45321274e+000, 8.10396680e+003
1.46635735e+000, 8.04868311e+003
1.47991669e+000, 8.01750732e+003
1.49385118e+000, 8.03168457e+003
1.50835705e+000, 8.08148730e+003
1.52358472e+000, 8.17733496e+003
1.53947389e+000, 8.34112402e+003
1.55604160e+000, 8.56726465e+003
1.57331181e+000, 8.86811035e+003
1.59104371e+000, 9.30369043e+003
1.60944533e+000, 9.87581445e+003
1.62916470e+000, 1.05910996e+004
1.65013528e+000, 1.14767900e+004
1.67214310e+000, 1.25733906e+004
1.69520736e+000, 1.38846377e+004
1.71951592e+000, 1.54358281e+004
1.74511468e+000, 1.71938223e+004
1.77212656e+000, 1.90996465e+004
1.80086744e+000, 2.10437070e+004
1.83172047e+000, 2.28038457e+004
1.86526370e+000, 2.43685234e+004
1.90101707e+000, 2.57131074e+004
1.93626976e+000, 2.66518613e+004
1.97025466e+000, 2.71615254e+004
2.00261974e+000, 2.72290996e+004
2.03338528e+000, 2.71630781e+004
2.06262493e+000, 2.70766602e+004
2.09038591e+000, 2.69911953e+004
2.11678076e+000, 2.69263223e+004
2.14220881e+000, 2.69092012e+004
2.16652298e+000, 2.69324980e+004
2.18985033e+000, 2.69860664e+004
2.21226811e+000, 2.70782559e+004
2.23382211e+000, 2.72066172e+004
2.25348830e+000, 2.73554180e+004
2.27190375e+000, 2.75173418e+004
2.28946424e+000, 2.76831328e+004
2.30621004e+000, 2.78442754e+004
2.32218122e+000, 2.79900645e+004
2.33744121e+000, 2.81176230e+004
2.35118032e+000, 2.82251133e+004
2.36307049e+000, 2.83116016e+004
2.37482572e+000, 2.83886855e+004
2.38726664e+000, 2.84593848e+004
2.40173149e+000, 2.85264219e+004
2.41701674e+000, 2.85908262e+004
2.43251824e+000, 2.86599727e+004
2.44807839e+000, 2.87369785e+004
2.46354795e+000, 2.88225742e+004
2.47790051e+000, 2.89252188e+004
2.49074602e+000, 2.90478770e+004
2.50222993e+000, 2.91890313e+004
2.51336694e+000, 2.93479590e+004
2.52452302e+000, 2.95457949e+004
2.53631401e+000, 2.97981348e+004
2.54860878e+000, 3.00845430e+004
2.56100583e+000, 3.03639453e+004
2.57280493e+000, 3.05935547e+004
2.58380938e+000, 3.07689668e+004
2.59467936e+000, 3.09014941e+004
2.60550427e+000, 3.09916953e+004
2.61629915e+000, 3.10403691e+004
2.62709379e+000, 3.10523027e+004
2.63789129e+000, 3.10423105e+004
2.64868617e+000, 3.09864414e+004
2.65947270e+000, 3.08900469e+004
2.67027545e+000, 3.07594004e+004
2.68110728e+000, 3.06064824e+004
2.69193292e+000, 3.04397207e+004
2.70273542e+000, 3.02658652e+004
2.71351361e+000, 3.00875977e+004
2.72426748e+000, 2.99079180e+004
2.73502755e+000, 2.97208457e+004
2.74578977e+000, 2.95299238e+004
2.75649452e+000, 2.93381875e+004
2.76716185e+000, 2.91428984e+004
2.77784300e+000, 2.89648008e+004
2.78853607e+000, 2.88056934e+004
2.79915380e+000, 2.90423574e+004
2.78892589e+000, 2.85525527e+004
2.77821612e+000, 2.85222422e+004
2.76746011e+000, 2.84286836e+004
2.75669456e+000, 2.83655977e+004
2.74581718e+000, 2.83106973e+004
2.73474908e+000, 2.82591289e+004
2.72337794e+000, 2.82104766e+004
2.71167278e+000, 2.81640000e+004
2.69990015e+000, 2.81125996e+004
2.68807793e+000, 2.80550254e+004
2.67618251e+000, 2.79938418e+004
2.66470575e+000, 2.79378457e+004
2.65387893e+000, 2.78710664e+004
2.64317131e+000, 2.77886289e+004
2.63246894e+000, 2.76961387e+004
2.62172532e+000, 2.75909766e+004
2.61089063e+000, 2.74916973e+004
2.59999561e+000, 2.73808203e+004
2.58907461e+000, 2.72397188e+004
2.57816505e+000, 2.70807891e+004
2.56713510e+000, 2.69241504e+004
2.55577683e+000, 2.67963672e+004
2.54266286e+000, 2.65769316e+004
2.52747416e+000, 2.61579922e+004
2.51220775e+000, 2.50097539e+004
2.49669933e+000, 2.15674941e+004
2.47919369e+000, 1.58766016e+004
2.45686603e+000, 9.52331445e+003
2.43074989e+000, 5.20683203e+003
2.40308237e+000, 3.09616431e+003
2.37550282e+000, 2.17481250e+003
2.34908652e+000, 1.74655542e+003
2.32080197e+000, 1.54965247e+003
2.28914261e+000, 1.47402319e+003
2.25444126e+000, 1.48379102e+003
2.22005439e+000, 1.55663318e+003
2.18887186e+000, 1.60186194e+003
2.15914941e+000, 1.61089380e+003
2.12962675e+000, 1.60484619e+003
2.10053372e+000, 1.59260315e+003
2.07244897e+000, 1.59602869e+003
2.04591370e+000, 1.61611023e+003
2.02108431e+000, 1.65609680e+003
1.99760652e+000, 1.70713684e+003
1.97521448e+000, 1.76868335e+003
1.95357656e+000, 1.83583472e+003
1.93400753e+000, 1.91524866e+003
1.91510987e+000, 2.01105505e+003
1.89668000e+000, 2.10014893e+003
1.87858915e+000, 2.19418481e+003
1.86083484e+000, 2.28687036e+003
1.84345305e+000, 2.38066943e+003
1.82655966e+000, 2.47467041e+003
1.80985272e+000, 2.56759888e+003
1.79346704e+000, 2.66003809e+003
1.77744436e+000, 2.75362842e+003
1.76176035e+000, 2.84857813e+003
1.74641299e+000, 2.94460522e+003
1.73138177e+000, 3.04234497e+003
1.71663415e+000, 3.14007788e+003
1.70215213e+000, 3.23665674e+003
1.68792760e+000, 3.33037842e+003
1.67393064e+000, 3.43030029e+003
1.66015661e+000, 3.54194702e+003
1.64661193e+000, 3.64852954e+003
1.63328159e+000, 3.74614160e+003
1.62017918e+000, 3.84955737e+003
1.60731351e+000, 3.95506763e+003
1.59464645e+000, 4.06514844e+003
1.58214784e+000, 4.17492090e+003
1.56986189e+000, 4.27869629e+003
1.55769455e+000, 4.38555615e+003
1.54563320e+000, 4.49938672e+003
1.53373456e+000, 4.61287012e+003
1.52200902e+000, 4.72794287e+003
1.51046169e+000, 4.84078857e+003
1.49909687e+000, 4.94865479e+003
1.48791611e+000, 5.06792529e+003
1.47690558e+000, 5.19428760e+003
1.46603894e+000, 5.31873291e+003
1.45522118e+000, 5.44327441e+003
1.44444191e+000, 5.57359424e+003
1.43369424e+000, 5.71323975e+003
1.42296731e+000, 5.85764844e+003
1.41224313e+000, 6.00875977e+003
1.40150464e+000, 6.16745264e+003
1.39073849e+000, 6.32873291e+003
1.37995267e+000, 6.47491211e+003
1.36915243e+000, 6.62552783e+003
1.35833883e+000, 6.78105469e+003
1.34751320e+000, 6.92236670e+003
1.33667672e+000, 7.05768506e+003
1.32583046e+000, 7.21319385e+003
1.31497550e+000, 7.36434229e+003
1.30411243e+000, 7.51477979e+003
1.29324186e+000, 7.65438867e+003
1.28236389e+000, 7.78604053e+003
1.27147889e+000, 7.92700977e+003
1.26058686e+000, 8.06798193e+003
1.24968839e+000, 8.20295117e+003
1.23878574e+000, 8.33726367e+003
1.22788036e+000, 8.47381738e+003
1.21697283e+000, 8.61700977e+003
1.20605731e+000, 8.75537695e+003
1.19509304e+000, 8.88752246e+003
1.18407273e+000, 9.01834473e+003
1.17299438e+000, 9.15179492e+003
1.16185701e+000, 9.28791504e+003
1.15065980e+000, 9.42757324e+003
1.13939917e+000, 9.56335840e+003
1.12807178e+000, 9.69747754e+003
1.11667299e+000, 9.83057324e+003
1.10520065e+000, 9.96527637e+003
1.09365284e+000, 1.01008271e+004
1.08202910e+000, 1.02339814e+004
1.07032967e+000, 1.03667695e+004
1.05854762e+000, 1.05003496e+004
1.04667628e+000, 1.06338379e+004
1.03471327e+000, 1.07688838e+004
1.02266896e+000, 1.08990557e+004
1.01058483e+000, 1.10310342e+004
9.98527169e-001, 1.11607285e+004
9.86559629e-001, 1.12885850e+004
9.74645138e-001, 1.14099570e+004
9.62758422e-001, 1.15250869e+004
9.50858653e-001, 1.16449229e+004
9.38926756e-001, 1.17658633e+004
9.26948190e-001, 1.18887822e+004
9.14972425e-001, 1.20120752e+004
9.03023064e-001, 1.21375635e+004
8.91113043e-001, 1.22592793e+004
8.79241109e-001, 1.23804307e+004
8.67402911e-001, 1.24985137e+004
8.55586767e-001, 1.26035771e+004
8.43792081e-001, 1.27189092e+004
8.32027435e-001, 1.28348721e+004
8.20298254e-001, 1.29437686e+004
8.08608294e-001, 1.30557568e+004
7.96973526e-001, 1.31739795e+004
7.85406768e-001, 1.32880508e+004
7.73915827e-001, 1.33940166e+004
7.62508273e-001, 1.35151709e+004
7.51191139e-001, 1.36373086e+004
7.39973724e-001, 1.37540996e+004
7.28865743e-001, 1.38684814e+004
7.17822671e-001, 1.39872617e+004
7.06812680e-001, 1.41037891e+004
6.95839643e-001, 1.42275742e+004
6.84903622e-001, 1.43526494e+004
6.73980832e-001, 1.44782881e+004
6.63066387e-001, 1.46061660e+004
6.52168095e-001, 1.47358496e+004
6.41286552e-001, 1.48615693e+004
6.30421519e-001, 1.49864688e+004
6.19583368e-001, 1.51131680e+004
6.08795583e-001, 1.52535996e+004
5.98035336e-001, 1.53806533e+004
5.87279081e-001, 1.55101250e+004
5.76491177e-001, 1.56354238e+004
5.65659225e-001, 1.57584824e+004
5.54803252e-001, 1.58898643e+004
5.43944538e-001, 1.60265957e+004
5.33104897e-001, 1.61534795e+004
5.22307277e-001, 1.62751943e+004
5.11574745e-001, 1.64117480e+004
5.00930667e-001, 1.65540391e+004
4.90354061e-001, 1.66961719e+004
4.79766190e-001, 1.68410898e+004
4.69180793e-001, 1.69873438e+004
4.58604723e-001, 1.71341113e+004
4.48027521e-001, 1.72785039e+004
4.37445432e-001, 1.74291035e+004
4.26854432e-001, 1.75934883e+004
4.16256696e-001, 1.77636543e+004
4.05657917e-001, 1.79207012e+004
3.94998401e-001, 1.80788301e+004
3.84271413e-001, 1.82503770e+004
3.73514891e-001, 1.84316641e+004
3.62768888e-001, 1.86223203e+004
3.52074653e-001, 1.88204961e+004
3.41473788e-001, 1.90226855e+004
3.30938309e-001, 1.92321973e+004
3.20313483e-001, 1.94472012e+004
3.09630454e-001, 1.96707441e+004
2.98939139e-001, 1.99061836e+004
2.88292587e-001, 2.01504961e+004
2.77701020e-001, 2.04009121e+004
2.67141402e-001, 2.06563711e+004
2.56560057e-001, 2.09173457e+004
2.45907083e-001, 2.11878887e+004
2.35246420e-001, 2.14682734e+004
2.24648148e-001, 2.17761035e+004
2.14170620e-001, 2.20410117e+004
2.03656673e-001, 2.23061328e+004
1.93089753e-001, 2.25906445e+004
1.82545021e-001, 2.28869277e+004
1.72061682e-001, 2.32029844e+004
1.61656469e-001, 2.35470586e+004
1.51157662e-001, 2.39337617e+004
1.40612915e-001, 2.43697988e+004
1.30118519e-001, 2.48555176e+004
1.19763657e-001, 2.53827363e+004
1.09354369e-001, 2.59610117e+004
9.89228636e-002, 2.66307090e+004
8.85807946e-002, 2.73629805e+004
7.83189088e-002, 2.79786191e+004
6.79710209e-002, 2.83665898e+004
5.76768257e-002, 2.85555039e+004
4.75861616e-002, 2.87881406e+004
3.75406444e-002, 2.94644766e+004
2.77356952e-002, 3.12241563e+004
1.83149111e-002, 3.58343867e+004
9.70855821e-003, 4.29776953e+004
2.90239113e-003, 4.97533125e+004
-6.33319994e-011, 5.02662422e+004
3.47039383e-003, 4.06181719e+004
1.12929037e-002, 2.72757910e+004
2.06081793e-002, 1.74278691e+004
3.06605436e-002, 1.24397168e+004
4.10209559e-002, 1.14912051e+004
5.14220223e-002, 1.19782354e+004
6.19417541e-002, 1.31772861e+004
7.25284740e-002, 1.51359189e+004
