[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
8.21988344e-001, 4.39137573e+002
8.40274334e-001, 4.27720856e+002
8.58371437e-001, 4.16518311e+002
8.76277983e-001, 4.05799652e+002
8.93995166e-001, 3.95574432e+002
9.11524951e-001, 3.86020081e+002
9.28869247e-001, 3.76051331e+002
9.46029902e-001, 3.66025177e+002
9.63008881e-001, 3.56229797e+002
9.79808033e-001, 3.46742310e+002
9.96429145e-001, 3.37560059e+002
1.01287413e+000, 3.28567841e+002
1.02914476e+000, 3.19694031e+002
1.04524291e+000, 3.11013672e+002
1.06117022e+000, 3.02426758e+002
1.07692862e+000, 2.93972595e+002
1.09252000e+000, 2.85595734e+002
1.10798585e+000, 2.77710449e+002
1.12335443e+000, 2.69811340e+002
1.13862944e+000, 2.62158203e+002
1.15381122e+000, 2.54901138e+002
1.16889954e+000, 2.47934097e+002
1.18387806e+000, 2.40951981e+002
1.19869483e+000, 2.33862823e+002
1.21318221e+000, 2.27068573e+002
1.22745705e+000, 2.20375504e+002
1.24157631e+000, 2.13940125e+002
1.25547111e+000, 2.07768021e+002
1.26913309e+000, 2.01764404e+002
1.28256118e+000, 1.96009155e+002
1.29575229e+000, 1.90447433e+002
1.30870128e+000, 1.85190506e+002
1.32141232e+000, 1.80195053e+002
1.33389759e+000, 1.75567902e+002
1.34616053e+000, 1.71282410e+002
1.35820472e+000, 1.67053177e+002
1.37004018e+000, 1.62938522e+002
1.38167179e+000, 1.59369232e+002
1.39310503e+000, 1.55975540e+002
1.40455019e+000, 1.52856476e+002
1.41618013e+000, 1.50188965e+002
1.42813683e+000, 1.47221176e+002
1.44047713e+000, 1.44828064e+002
1.45321274e+000, 1.42864059e+002
1.46635735e+000, 1.39885193e+002
1.47991669e+000, 1.37794342e+002
1.49385118e+000, 1.36749100e+002
1.50835705e+000, 1.35021729e+002
1.52358472e+000, 1.33110840e+002
1.53947389e+000, 1.31329269e+002
1.55604160e+000, 1.29627457e+002
1.57331181e+000, 1.27557457e+002
1.59104371e+000, 1.25776718e+002
1.60944533e+000, 1.24178535e+002
1.62916470e+000, 1.22735199e+002
1.65013528e+000, 1.21311241e+002
1.67214310e+000, 1.19865623e+002
1.69520736e+000, 1.18520988e+002
1.71951592e+000, 1.17491753e+002
1.74511468e+000, 1.16463257e+002
1.77212656e+000, 1.15510979e+002
1.80086744e+000, 1.14598236e+002
1.83172047e+000, 1.13980736e+002
1.86526370e+000, 1.13157784e+002
1.90101707e+000, 1.12403557e+002
1.93626976e+000, 1.12105835e+002
1.97025466e+000, 1.12440125e+002
2.00261974e+000, 1.13233871e+002
2.03338528e+000, 1.14050774e+002
2.06262493e+000, 1.14862740e+002
2.09038591e+000, 1.15224785e+002
2.11678076e+000, 1.15314911e+002
2.14220881e+000, 1.14942474e+002
2.16652298e+000, 1.14076569e+002
2.18985033e+000, 1.13765640e+002
2.21226811e+000, 1.13762985e+002
2.23382211e+000, 1.14157440e+002
2.25348830e+000, 1.15378113e+002
2.27190375e+000, 1.17399902e+002
2.28946424e+000, 1.19639534e+002
2.30621004e+000, 1.21482910e+002
2.32218122e+000, 1.22582176e+002
2.33744121e+000, 1.23175858e+002
2.35118032e+000, 1.23362259e+002
2.36307049e+000, 1.22613319e+002
2.37482572e+000, 1.21066734e+002
2.38726664e+000, 1.18415916e+002
2.40173149e+000, 1.14326569e+002
2.41701674e+000, 1.09374603e+002
2.43251824e+000, 1.04130791e+002
2.44807839e+000, 9.89590836e+001
2.46354795e+000, 9.46791763e+001
2.47790051e+000, 9.15583267e+001
2.49074602e+000, 9.01018295e+001
2.50222993e+000, 8.99452209e+001
2.51336694e+000, 9.17751236e+001
2.52452302e+000, 9.75383224e+001
2.53631401e+000, 1.07131027e+002
2.54860878e+000, 1.19268860e+002
2.56100583e+000, 1.30945847e+002
2.57280493e+000, 1.39338425e+002
2.58380938e+000, 1.44375900e+002
2.59467936e+000, 1.46302658e+002
2.60550427e+000, 1.46489517e+002
2.61629915e+000, 1.41357819e+002
2.62709379e+000, 1.32153595e+002
2.63789129e+000, 1.20222847e+002
2.64868617e+000, 1.05386238e+002
2.65947270e+000, 8.71632767e+001
2.67027545e+000, 6.49045639e+001
2.68110728e+000, 3.94887466e+001
2.69193292e+000, 1.18203936e+001
2.70273542e+000, -1.75204906e+001
2.71351361e+000, -4.87879868e+001
2.72426748e+000, -8.25939178e+001
2.73502755e+000, -1.19612000e+002
2.74578977e+000, -1.59646942e+002
2.75649452e+000, -2.05877930e+002
2.76716185e+000, -2.60617249e+002
2.77784300e+000, -3.24491974e+002
2.78853607e+000, -4.00772888e+002
2.79915380e+000, -4.77390320e+002
2.78892589e+000, -4.52363953e+002
2.77821612e+000, -4.16194550e+002
2.76746011e+000, -4.08160400e+002
2.75669456e+000, -4.11217926e+002
2.74581718e+000, -4.15707611e+002
2.73474908e+000, -4.20828064e+002
2.72337794e+000, -4.25604584e+002
2.71167278e+000, -4.30214752e+002
2.69990015e+000, -4.34720764e+002
2.68807793e+000, -4.39020111e+002
2.67618251e+000, -4.43055298e+002
2.66470575e+000, -4.46619141e+002
2.65387893e+000, -4.49764709e+002
2.64317131e+000, -4.52621490e+002
2.63246894e+000, -4.55302948e+002
2.62172532e+000, -4.57860687e+002
2.61089063e+000, -4.60296661e+002
2.59999561e+000, -4.62658722e+002
2.58907461e+000, -4.64911377e+002
2.57816505e+000, -4.67028259e+002
2.56713510e+000, -4.69087891e+002
2.55577683e+000, -4.71140869e+002
2.54266286e+000, -4.73420410e+002
2.52747416e+000, -4.75916779e+002
2.51220775e+000, -4.78235382e+002
2.49669933e+000, -4.80296539e+002
2.47919369e+000, -4.82259857e+002
2.45686603e+000, -4.84323547e+002
2.43074989e+000, -4.86312714e+002
2.40308237e+000, -4.88223480e+002
2.37550282e+000, -4.90019012e+002
2.34908652e+000, -4.91718231e+002
2.32080197e+000, -4.93428070e+002
2.28914261e+000, -4.95428497e+002
2.25444126e+000, -4.98081787e+002
2.22005439e+000, -5.00753235e+002
2.18887186e+000, -5.03434143e+002
2.15914941e+000, -5.06212067e+002
2.12962675e+000, -5.09031433e+002
2.10053372e+000, -5.12009277e+002
2.07244897e+000, -5.15071289e+002
2.04591370e+000, -5.18096558e+002
2.02108431e+000, -5.20993835e+002
1.99760652e+000, -5.23797119e+002
1.97521448e+000, -5.26584229e+002
1.95357656e+000, -5.29335754e+002
1.93400753e+000, -5.32005676e+002
1.91510987e+000, -5.34674194e+002
